domain,attribute,context,ctx_ref_exposure_low,ctx_ref_exposure_high,noul_low,noul_high,score_low,score_high,choice_low,choice_high,ref_low,ref_high
sast,severity,sast-cf09,2.0,3.0,0.54,0.79,2.35,2.85,ACCELERATED,ACCELERATED,STANDARD,ACCELERATED
sast,severity,sast-cf10,3.0,4.0,0.58,0.79,2.79,3.33,ACCELERATED,ACCELERATED,ACCELERATED,EMERGENCY
sast,severity,sast-cf11,0.0,0.0,0.16,0.21,0.91,0.84,DEFER,DEFER,DEFER,DEFER
sast,severity,sast-cf12,1.0,2.0,0.69,0.81,2.41,2.8,ACCELERATED,ACCELERATED,STANDARD,STANDARD
sast,severity,sast-cf13,2.0,3.0,0.58,0.71,2.36,2.63,ACCELERATED,ACCELERATED,STANDARD,ACCELERATED
sast,severity,sast-cf14,3.0,4.0,0.55,0.75,2.33,3.06,STANDARD,ACCELERATED,ACCELERATED,EMERGENCY
sast,severity,sast-cf15,3.0,4.0,0.75,0.85,3.42,3.87,ACCELERATED,ACCELERATED,ACCELERATED,EMERGENCY
sca,asset,sca-cf01,0.0,0.0,0.12,0.18,0.48,0.59,DEFER,DEFER,DEFER,DEFER
sca,asset,sca-cf02,1.0,1.0,0.34,0.63,1.23,2.12,DEFER,DEFER,STANDARD,STANDARD
sca,asset,sca-cf03,1.0,2.0,0.59,0.83,2.09,3.35,ACCELERATED,EMERGENCY,STANDARD,STANDARD
sca,asset,sca-cf04,2.0,3.0,0.53,0.77,1.86,3.11,STANDARD,EMERGENCY,STANDARD,ACCELERATED
sca,asset,sca-cf05,3.0,4.0,0.63,0.85,2.36,3.58,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,asset,sca-cf06,0.0,0.0,0.24,0.36,0.9,0.93,DEFER,DEFER,DEFER,DEFER
sca,asset,sca-cf07,1.0,2.0,0.22,0.38,1.05,1.37,STANDARD,DEFER,STANDARD,STANDARD
sca,asset,sca-cf08,1.0,2.0,0.4,0.65,1.59,2.32,STANDARD,ACCELERATED,STANDARD,STANDARD
sca,asset,sca-cf09,1.0,3.0,0.55,0.83,1.75,2.78,STANDARD,ACCELERATED,STANDARD,ACCELERATED
sca,asset,sca-cf10,3.0,4.0,0.64,0.86,2.25,3.65,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,asset,sca-cf11,0.0,0.0,0.26,0.51,1.13,1.79,DEFER,DEFER,DEFER,DEFER
sca,asset,sca-cf12,1.0,1.0,0.35,0.52,1.28,2.1,STANDARD,REVIEW,STANDARD,STANDARD
sca,asset,sca-cf13,1.0,2.0,0.64,0.82,2.14,3.39,ACCELERATED,EMERGENCY,STANDARD,STANDARD
sca,asset,sca-cf14,3.0,4.0,0.7,0.89,1.94,3.81,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,asset,sca-cf15,3.0,4.0,0.7,0.92,2.52,3.95,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,control,sca-cf01,0.0,0.0,0.12,0.15,0.32,0.45,DEFER,DEFER,DEFER,DEFER
sca,control,sca-cf02,1.0,3.0,0.63,0.82,2.12,2.93,DEFER,ACCELERATED,STANDARD,ACCELERATED
sca,control,sca-cf03,1.0,3.0,0.62,0.86,2.38,3.61,DEFER,EMERGENCY,STANDARD,ACCELERATED
sca,control,sca-cf04,2.0,3.0,0.54,0.74,2.16,3.19,DEFER,EMERGENCY,STANDARD,ACCELERATED
sca,control,sca-cf05,3.0,4.0,0.67,0.85,2.49,3.58,DEFER,EMERGENCY,ACCELERATED,EMERGENCY
sca,control,sca-cf06,0.0,0.0,0.2,0.29,0.66,0.84,DEFER,DEFER,DEFER,DEFER
sca,control,sca-cf07,1.0,1.0,0.22,0.29,1.08,1.27,DEFER,STANDARD,STANDARD,STANDARD
sca,control,sca-cf08,1.0,3.0,0.38,0.65,1.6,2.37,DEFER,ACCELERATED,STANDARD,ACCELERATED
sca,control,sca-cf09,1.0,3.0,0.67,0.83,2.0,2.78,DEFER,ACCELERATED,STANDARD,ACCELERATED
sca,control,sca-cf10,2.0,4.0,0.61,0.81,2.36,3.46,DEFER,EMERGENCY,STANDARD,EMERGENCY
sca,control,sca-cf11,0.0,0.0,0.28,0.38,1.25,1.49,DEFER,DEFER,DEFER,DEFER
sca,control,sca-cf12,0.0,1.0,0.24,0.35,1.04,1.28,DEFER,STANDARD,DEFER,STANDARD
sca,control,sca-cf13,1.0,3.0,0.6,0.81,2.42,3.56,DEFER,EMERGENCY,STANDARD,ACCELERATED
sca,control,sca-cf14,2.0,3.0,0.66,0.87,2.51,3.64,DEFER,EMERGENCY,STANDARD,ACCELERATED
sca,control,sca-cf15,2.0,4.0,0.69,0.9,2.53,3.65,DEFER,EMERGENCY,STANDARD,EMERGENCY
sca,cvss,sca-cf01,0.0,0.0,0.16,0.17,0.56,0.55,DEFER,DEFER,DEFER,DEFER
sca,cvss,sca-cf02,1.0,2.0,0.6,0.7,2.1,2.17,DEFER,DEFER,STANDARD,STANDARD
sca,cvss,sca-cf03,2.0,3.0,0.8,0.9,3.35,3.62,EMERGENCY,EMERGENCY,STANDARD,ACCELERATED
sca,cvss,sca-cf04,3.0,4.0,0.77,0.83,3.11,3.3,EMERGENCY,EMERGENCY,ACCELERATED,EMERGENCY
sca,cvss,sca-cf05,4.0,4.0,0.85,0.92,3.58,3.79,EMERGENCY,EMERGENCY,EMERGENCY,EMERGENCY
sca,cvss,sca-cf06,0.0,0.0,0.26,0.29,0.92,0.93,DEFER,DEFER,DEFER,DEFER
sca,cvss,sca-cf07,1.0,2.0,0.34,0.44,1.41,1.55,STANDARD,STANDARD,STANDARD,STANDARD
sca,cvss,sca-cf08,1.0,2.0,0.46,0.65,2.11,2.32,ACCELERATED,ACCELERATED,STANDARD,STANDARD
sca,cvss,sca-cf09,2.0,3.0,0.79,0.85,2.76,2.8,ACCELERATED,ACCELERATED,STANDARD,ACCELERATED
sca,cvss,sca-cf10,4.0,4.0,0.81,0.9,3.46,3.78,EMERGENCY,EMERGENCY,EMERGENCY,EMERGENCY
sca,cvss,sca-cf11,0.0,0.0,0.36,0.48,1.45,1.49,DEFER,DEFER,DEFER,DEFER
sca,cvss,sca-cf12,1.0,1.0,0.28,0.35,1.29,1.28,STANDARD,STANDARD,STANDARD,STANDARD
sca,cvss,sca-cf13,2.0,3.0,0.86,0.9,3.5,3.62,EMERGENCY,EMERGENCY,STANDARD,ACCELERATED
sca,cvss,sca-cf14,3.0,4.0,0.84,0.9,3.22,3.74,EMERGENCY,EMERGENCY,ACCELERATED,EMERGENCY
sca,cvss,sca-cf15,4.0,4.0,0.9,0.96,3.65,3.99,EMERGENCY,EMERGENCY,EMERGENCY,EMERGENCY
sca,epss,sca-cf01,0.0,0.0,0.14,0.18,0.5,0.64,DEFER,DEFER,DEFER,DEFER
sca,epss,sca-cf02,1.0,1.0,0.51,0.68,1.82,2.2,DEFER,DEFER,STANDARD,STANDARD
sca,epss,sca-cf03,2.0,2.0,0.77,0.87,3.23,3.54,ACCELERATED,EMERGENCY,STANDARD,STANDARD
sca,epss,sca-cf04,3.0,3.0,0.77,0.84,3.11,3.47,EMERGENCY,EMERGENCY,ACCELERATED,ACCELERATED
sca,epss,sca-cf05,4.0,4.0,0.84,0.92,3.59,3.82,EMERGENCY,EMERGENCY,EMERGENCY,EMERGENCY
sca,epss,sca-cf06,0.0,0.0,0.29,0.4,0.98,1.08,DEFER,DEFER,DEFER,DEFER
sca,epss,sca-cf07,1.0,1.0,0.19,0.34,1.05,1.27,STANDARD,STANDARD,STANDARD,STANDARD
sca,epss,sca-cf08,2.0,2.0,0.65,0.84,2.32,2.79,ACCELERATED,ACCELERATED,STANDARD,STANDARD
sca,epss,sca-cf09,3.0,3.0,0.69,0.86,2.54,2.95,ACCELERATED,ACCELERATED,ACCELERATED,ACCELERATED
sca,epss,sca-cf10,4.0,4.0,0.8,0.88,3.42,3.72,EMERGENCY,EMERGENCY,EMERGENCY,EMERGENCY
sca,epss,sca-cf11,0.0,0.0,0.36,0.51,1.41,1.59,DEFER,DEFER,DEFER,DEFER
sca,epss,sca-cf12,1.0,1.0,0.25,0.35,1.21,1.28,STANDARD,STANDARD,STANDARD,STANDARD
sca,epss,sca-cf13,2.0,2.0,0.68,0.82,3.02,3.39,EMERGENCY,EMERGENCY,STANDARD,STANDARD
sca,epss,sca-cf14,3.0,3.0,0.89,0.93,3.48,3.66,EMERGENCY,EMERGENCY,ACCELERATED,ACCELERATED
sca,epss,sca-cf15,3.0,4.0,0.72,0.9,3.26,3.65,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,internet,sca-cf01,0.0,0.0,0.16,0.25,0.56,0.88,DEFER,DEFER,DEFER,DEFER
sca,internet,sca-cf02,1.0,2.0,0.63,0.72,2.12,2.63,DEFER,DEFER,STANDARD,STANDARD
sca,internet,sca-cf03,1.0,2.0,0.7,0.83,2.39,3.35,ACCELERATED,EMERGENCY,STANDARD,STANDARD
sca,internet,sca-cf04,2.0,3.0,0.54,0.77,2.09,3.11,ACCELERATED,EMERGENCY,STANDARD,ACCELERATED
sca,internet,sca-cf05,4.0,4.0,0.68,0.85,2.66,3.58,ACCELERATED,EMERGENCY,EMERGENCY,EMERGENCY
sca,internet,sca-cf06,0.0,0.0,0.18,0.29,0.56,0.93,DEFER,DEFER,DEFER,DEFER
sca,internet,sca-cf07,1.0,1.0,0.29,0.42,1.27,1.5,STANDARD,REVIEW,STANDARD,STANDARD
sca,internet,sca-cf08,2.0,3.0,0.65,0.82,2.32,3.54,ACCELERATED,EMERGENCY,STANDARD,ACCELERATED
sca,internet,sca-cf09,3.0,4.0,0.83,0.92,2.78,3.87,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,internet,sca-cf10,3.0,4.0,0.62,0.81,2.5,3.46,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,internet,sca-cf11,0.0,0.0,0.22,0.38,1.14,1.49,DEFER,DEFER,DEFER,DEFER
sca,internet,sca-cf12,1.0,1.0,0.24,0.35,1.14,1.28,STANDARD,STANDARD,STANDARD,STANDARD
sca,internet,sca-cf13,1.0,2.0,0.69,0.82,2.42,3.39,ACCELERATED,EMERGENCY,STANDARD,STANDARD
sca,internet,sca-cf14,2.0,3.0,0.73,0.89,2.51,3.48,ACCELERATED,EMERGENCY,STANDARD,ACCELERATED
sca,internet,sca-cf15,3.0,4.0,0.79,0.9,2.88,3.65,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,kev,sca-cf01,0.0,0.0,0.11,0.16,0.5,0.56,DEFER,DEFER,DEFER,DEFER
sca,kev,sca-cf02,0.0,1.0,0.49,0.63,2.0,2.12,DEFER,DEFER,DEFER,STANDARD
sca,kev,sca-cf03,0.0,2.0,0.75,0.83,3.23,3.35,ACCELERATED,EMERGENCY,DEFER,STANDARD
sca,kev,sca-cf04,2.0,3.0,0.56,0.77,2.78,3.11,ACCELERATED,EMERGENCY,STANDARD,ACCELERATED
sca,kev,sca-cf05,4.0,4.0,0.71,0.85,3.25,3.58,ACCELERATED,EMERGENCY,EMERGENCY,EMERGENCY
sca,kev,sca-cf06,0.0,0.0,0.24,0.29,0.85,0.93,DEFER,DEFER,DEFER,DEFER
sca,kev,sca-cf07,1.0,1.0,0.2,0.29,1.13,1.27,STANDARD,STANDARD,STANDARD,STANDARD
sca,kev,sca-cf08,2.0,3.0,0.65,0.74,2.32,2.43,ACCELERATED,ACCELERATED,STANDARD,ACCELERATED
sca,kev,sca-cf09,2.0,3.0,0.76,0.83,2.74,2.78,ACCELERATED,ACCELERATED,STANDARD,ACCELERATED
sca,kev,sca-cf10,3.0,4.0,0.67,0.81,3.09,3.46,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sca,kev,sca-cf11,0.0,0.0,0.25,0.38,1.47,1.49,DEFER,DEFER,DEFER,DEFER
sca,kev,sca-cf12,1.0,1.0,0.35,0.36,1.28,1.29,STANDARD,STANDARD,STANDARD,STANDARD
sca,kev,sca-cf13,1.0,2.0,0.73,0.82,3.3,3.39,EMERGENCY,EMERGENCY,STANDARD,STANDARD
sca,kev,sca-cf14,2.0,3.0,0.82,0.89,3.26,3.48,EMERGENCY,EMERGENCY,STANDARD,ACCELERATED
sca,kev,sca-cf15,4.0,4.0,0.9,0.93,3.65,3.88,EMERGENCY,EMERGENCY,EMERGENCY,EMERGENCY
sca,reachable,sca-cf01,0.0,1.0,0.16,0.29,0.56,1.24,DEFER,STANDARD,DEFER,STANDARD
sca,reachable,sca-cf02,0.0,1.0,0.31,0.63,0.94,2.12,DEFER,DEFER,DEFER,STANDARD
sca,reachable,sca-cf03,0.0,2.0,0.59,0.83,1.81,3.35,DEFER,EMERGENCY,DEFER,STANDARD
sca,reachable,sca-cf04,0.0,3.0,0.47,0.77,1.67,3.11,DEFER,EMERGENCY,DEFER,ACCELERATED
sca,reachable,sca-cf05,1.0,4.0,0.5,0.85,1.79,3.58,DEFER,EMERGENCY,STANDARD,EMERGENCY
sca,reachable,sca-cf06,0.0,2.0,0.29,0.57,0.93,2.11,DEFER,ACCELERATED,DEFER,STANDARD
sca,reachable,sca-cf07,0.0,1.0,0.16,0.29,0.43,1.27,DEFER,STANDARD,DEFER,STANDARD
sca,reachable,sca-cf08,1.0,2.0,0.24,0.65,1.02,2.32,DEFER,ACCELERATED,STANDARD,STANDARD
sca,reachable,sca-cf09,1.0,3.0,0.44,0.83,1.31,2.78,DEFER,ACCELERATED,STANDARD,ACCELERATED
sca,reachable,sca-cf10,1.0,4.0,0.5,0.81,1.78,3.46,DEFER,EMERGENCY,STANDARD,EMERGENCY
sca,reachable,sca-cf11,0.0,2.0,0.38,0.67,1.49,2.63,DEFER,ACCELERATED,DEFER,STANDARD
sca,reachable,sca-cf12,0.0,1.0,0.19,0.35,0.74,1.28,DEFER,STANDARD,DEFER,STANDARD
sca,reachable,sca-cf13,0.0,2.0,0.51,0.82,1.61,3.39,DEFER,EMERGENCY,DEFER,STANDARD
sca,reachable,sca-cf14,0.0,3.0,0.57,0.89,1.71,3.48,DEFER,EMERGENCY,DEFER,ACCELERATED
sca,reachable,sca-cf15,1.0,4.0,0.59,0.9,1.93,3.65,DEFER,EMERGENCY,STANDARD,EMERGENCY
