domain,field,mode,group,ref_disp,ref_review,stakes,anchor_choice,choice,changed,selected_review,correct,d_p_review,d_conf,d_noul,d_score,d_score_conf
sca,asset,unknown,sca-main-097,ACCELERATED,False,none,DEFER,DEFER,False,False,False,0.19,-0.09999999999999998,-0.040000000000000036,-0.03000000000000025,0.04000000000000001
sca,asset,omitted,sca-main-097,ACCELERATED,False,none,DEFER,DEFER,False,False,False,-0.009999999999999981,0.08999999999999997,-0.030000000000000027,-0.050000000000000266,0.07
sca,internet,unknown,sca-main-097,REVIEW,True,urgency,DEFER,REVIEW,True,True,True,0.35000000000000003,-0.04999999999999999,-0.040000000000000036,-0.28000000000000025,0.37
sca,internet,omitted,sca-main-097,REVIEW,True,urgency,DEFER,DEFER,False,False,False,0.010000000000000009,0.09999999999999998,-0.040000000000000036,-0.20999999999999996,0.16999999999999998
sca,reachable,unknown,sca-main-084,STANDARD,False,none,EMERGENCY,REVIEW,True,True,False,0.87,0.38,-0.13,-0.41000000000000014,0.19999999999999996
sca,reachable,omitted,sca-main-084,STANDARD,False,none,EMERGENCY,EMERGENCY,False,False,False,0.009999999999999998,-0.03999999999999998,-0.010000000000000009,-0.020000000000000018,-0.020000000000000018
sca,epss,unknown,sca-main-084,STANDARD,False,none,EMERGENCY,EMERGENCY,False,False,False,0.0,0.21000000000000008,0.06999999999999995,0.2200000000000002,0.17999999999999994
sca,epss,omitted,sca-main-084,STANDARD,False,none,EMERGENCY,EMERGENCY,False,False,False,-0.01,0.24,0.07999999999999996,0.2400000000000002,0.19999999999999996
sca,asset,unknown,sca-main-084,REVIEW,True,defer_vs_standard,EMERGENCY,ACCELERATED,True,False,False,0.37,-0.06,-0.09000000000000008,-0.8500000000000001,0.07999999999999996
sca,asset,omitted,sca-main-084,REVIEW,True,defer_vs_standard,EMERGENCY,ACCELERATED,True,False,False,0.06999999999999999,0.15000000000000002,-0.13,-0.8900000000000001,0.030000000000000027
sca,internet,unknown,sca-main-084,STANDARD,False,none,EMERGENCY,REVIEW,True,True,False,0.54,-0.019999999999999962,-0.1200000000000001,-0.46999999999999975,0.21999999999999997
sca,internet,omitted,sca-main-084,STANDARD,False,none,EMERGENCY,ACCELERATED,True,False,False,0.02,0.020000000000000018,-0.06000000000000005,-0.20999999999999996,0.13
sca,reachable,unknown,sca-main-085,DEFER,False,none,STANDARD,REVIEW,True,True,False,0.57,0.31,-0.15000000000000002,-0.32000000000000006,-0.15000000000000002
sca,reachable,omitted,sca-main-085,DEFER,False,none,STANDARD,STANDARD,False,False,False,-0.009999999999999981,0.10999999999999999,-0.06,-0.1200000000000001,-0.05999999999999994
sca,epss,unknown,sca-main-085,REVIEW,True,defer_vs_standard,STANDARD,STANDARD,False,False,False,0.020000000000000018,-0.030000000000000027,0.02999999999999997,0.0,-0.030000000000000027
sca,epss,omitted,sca-main-085,REVIEW,True,defer_vs_standard,STANDARD,STANDARD,False,False,False,0.04000000000000001,0.0,0.010000000000000009,-0.050000000000000044,-0.04999999999999993
sca,asset,unknown,sca-main-085,DEFER,False,none,STANDARD,REVIEW,True,True,False,0.28,-0.06,-0.040000000000000036,-0.18999999999999995,-0.16999999999999993
sca,asset,omitted,sca-main-085,DEFER,False,none,STANDARD,STANDARD,False,False,False,0.03,0.03999999999999998,-0.06,-0.20999999999999996,-0.16000000000000003
sca,internet,unknown,sca-main-085,DEFER,False,none,STANDARD,STANDARD,False,False,False,0.19000000000000003,0.09999999999999998,-0.15000000000000002,-0.27,-0.15000000000000002
sca,internet,omitted,sca-main-085,DEFER,False,none,STANDARD,STANDARD,False,False,False,-0.09999999999999999,0.41,-0.13,-0.26,-0.14
sca,reachable,unknown,sca-main-057,REVIEW,True,defer_vs_standard,DEFER,REVIEW,True,True,True,0.44000000000000006,0.030000000000000027,-0.05000000000000002,-0.21999999999999997,0.09999999999999998
sca,reachable,omitted,sca-main-057,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,-0.009999999999999995,0.15999999999999998,-0.05000000000000002,-0.22999999999999998,0.08000000000000007
sca,epss,unknown,sca-main-057,STANDARD,False,none,DEFER,DEFER,False,False,False,0.020000000000000018,-0.02999999999999997,0.04999999999999999,0.10000000000000009,-0.06999999999999995
sca,epss,omitted,sca-main-057,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.03,0.11000000000000004,0.03999999999999998,-0.020000000000000018,0.010000000000000009
sca,asset,unknown,sca-main-057,STANDARD,False,none,DEFER,DEFER,False,False,False,0.2,-0.16999999999999998,0.07999999999999996,0.3999999999999999,-0.07999999999999996
sca,asset,omitted,sca-main-057,STANDARD,False,none,DEFER,DEFER,False,False,False,0.05000000000000002,-0.06,0.09999999999999998,0.41999999999999993,-0.07999999999999996
sca,internet,unknown,sca-main-057,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.28,-0.16999999999999998,-0.010000000000000009,0.06000000000000005,-0.030000000000000027
sca,internet,omitted,sca-main-057,STANDARD,False,none,DEFER,DEFER,False,False,False,0.0,0.040000000000000036,0.010000000000000009,0.06000000000000005,-0.010000000000000009
sca,reachable,unknown,sca-main-044,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.7,0.040000000000000036,0.060000000000000026,0.5399999999999998,0.19999999999999996
sca,reachable,omitted,sca-main-044,STANDARD,False,none,DEFER,DEFER,False,False,False,0.03999999999999998,-0.31,0.11000000000000001,0.7699999999999998,0.24
sca,epss,unknown,sca-main-044,STANDARD,False,none,DEFER,DEFER,False,False,False,0.01999999999999999,-0.010000000000000009,0.06999999999999998,0.10999999999999988,-0.06
sca,epss,omitted,sca-main-044,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.010000000000000009,0.030000000000000027,0.060000000000000026,0.1299999999999999,-0.020000000000000018
sca,asset,unknown,sca-main-044,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,0.03999999999999998,-0.050000000000000044,-0.04000000000000001,-0.2200000000000002,0.15000000000000002
sca,asset,omitted,sca-main-044,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,-0.030000000000000013,0.040000000000000036,-0.03,-0.17000000000000015,0.06999999999999995
sca,internet,unknown,sca-main-044,STANDARD,False,none,DEFER,DEFER,False,False,False,0.16999999999999998,-0.19000000000000006,-0.01999999999999999,-0.3500000000000001,0.06999999999999995
sca,internet,omitted,sca-main-044,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.06000000000000001,0.09999999999999998,-0.04000000000000001,-0.40000000000000013,0.05999999999999994
sca,reachable,unknown,sca-main-038,REVIEW,True,defer_vs_standard,DEFER,REVIEW,True,True,True,0.47,0.13000000000000006,-0.15000000000000008,-0.48,-0.020000000000000018
sca,reachable,omitted,sca-main-038,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,-0.020000000000000018,0.12000000000000005,-0.11000000000000004,-0.4099999999999999,-0.06999999999999995
sca,epss,unknown,sca-main-038,STANDARD,False,none,DEFER,DEFER,False,False,False,0.04999999999999999,-0.010000000000000009,0.05999999999999994,0.16999999999999993,0.040000000000000036
sca,epss,omitted,sca-main-038,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.03,0.03999999999999998,0.08999999999999997,0.10000000000000009,0.020000000000000018
sca,asset,unknown,sca-main-038,STANDARD,False,none,DEFER,DEFER,False,False,False,0.12999999999999998,-0.07,-0.15000000000000008,-0.41999999999999993,0.030000000000000027
sca,asset,omitted,sca-main-038,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.05000000000000002,0.13999999999999996,-0.14000000000000007,-0.42999999999999994,0.06000000000000005
sca,internet,unknown,sca-main-038,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.35,-0.020000000000000018,-0.030000000000000027,0.24,0.020000000000000018
sca,internet,omitted,sca-main-038,STANDARD,False,none,DEFER,DEFER,False,False,False,0.0,0.010000000000000009,0.039999999999999925,0.2899999999999998,-0.07999999999999996
sca,reachable,unknown,sca-main-014,REVIEW,True,urgency,ACCELERATED,REVIEW,True,True,True,0.87,0.35,-0.20000000000000007,-0.33000000000000007,-0.16000000000000003
sca,reachable,omitted,sca-main-014,REVIEW,True,urgency,ACCELERATED,ACCELERATED,False,False,False,0.24000000000000002,-0.39,-0.08000000000000007,-0.3500000000000001,-0.18000000000000005
sca,epss,unknown,sca-main-014,REVIEW,True,urgency,ACCELERATED,ACCELERATED,False,False,False,0.17,-0.22999999999999998,-0.050000000000000044,-0.08000000000000007,-0.030000000000000027
sca,epss,omitted,sca-main-014,REVIEW,True,urgency,ACCELERATED,ACCELERATED,False,False,False,0.009999999999999995,-0.020000000000000018,-0.040000000000000036,-0.06000000000000005,-0.020000000000000018
sca,asset,unknown,sca-main-014,REVIEW,True,urgency,ACCELERATED,REVIEW,True,True,True,0.5,-0.10999999999999999,-0.12,-0.31000000000000005,-0.14
sca,asset,omitted,sca-main-014,REVIEW,True,urgency,ACCELERATED,ACCELERATED,False,False,False,0.04999999999999999,-0.20999999999999996,-0.09000000000000008,-0.28000000000000025,-0.12
sca,internet,unknown,sca-main-014,REVIEW,True,defer_vs_standard,ACCELERATED,REVIEW,True,True,True,0.38,-0.25,0.05999999999999994,0.2999999999999998,0.010000000000000009
sca,internet,omitted,sca-main-014,REVIEW,True,defer_vs_standard,ACCELERATED,EMERGENCY,True,False,False,-0.08,-0.22999999999999998,0.06999999999999995,0.5699999999999998,-0.19000000000000006
sca,reachable,unknown,sca-main-005,REVIEW,True,defer_vs_standard,DEFER,REVIEW,True,True,True,0.6699999999999999,0.020000000000000018,0.14,0.44999999999999996,-0.08999999999999997
sca,reachable,omitted,sca-main-005,REVIEW,True,defer_vs_standard,DEFER,REVIEW,True,True,True,0.14999999999999997,-0.64,0.2,0.48,-0.14
sca,epss,unknown,sca-main-005,DEFER,False,none,DEFER,DEFER,False,False,True,0.06,-0.07999999999999996,0.010000000000000009,0.09000000000000008,-0.010000000000000009
sca,epss,omitted,sca-main-005,DEFER,False,none,DEFER,DEFER,False,False,True,0.009999999999999981,-0.020000000000000018,-0.019999999999999962,0.010000000000000009,0.030000000000000027
sca,asset,unknown,sca-main-005,DEFER,False,none,DEFER,DEFER,False,False,True,0.18,-0.21999999999999997,-0.010000000000000009,-0.040000000000000036,0.030000000000000027
sca,asset,omitted,sca-main-005,DEFER,False,none,DEFER,DEFER,False,False,True,0.01999999999999999,-0.010000000000000009,0.0,-0.08999999999999997,0.06999999999999995
sca,internet,unknown,sca-main-005,DEFER,False,none,DEFER,DEFER,False,False,True,0.16999999999999998,-0.19999999999999996,-0.06,-0.21999999999999997,0.010000000000000009
sca,internet,omitted,sca-main-005,DEFER,False,none,DEFER,DEFER,False,False,True,-0.07,0.08999999999999997,-0.04999999999999999,-0.16000000000000003,0.040000000000000036
sast,sanitization,unknown,sast-main-062,STANDARD,False,none,ACCELERATED,ACCELERATED,False,False,False,0.36,-0.33999999999999997,-0.08999999999999997,-0.3600000000000003,-0.04999999999999993
sast,sanitization,omitted,sast-main-062,STANDARD,False,none,ACCELERATED,ACCELERATED,False,False,False,0.010000000000000002,-0.020000000000000018,-0.05999999999999994,-0.31000000000000005,-0.07999999999999996
sast,attacker_controlled,unknown,sast-main-062,STANDARD,False,none,ACCELERATED,REVIEW,True,True,False,0.59,-0.20999999999999996,-0.04999999999999993,-0.050000000000000266,-0.019999999999999907
sast,attacker_controlled,omitted,sast-main-062,STANDARD,False,none,ACCELERATED,ACCELERATED,False,False,False,0.0,0.020000000000000018,0.010000000000000009,-0.03000000000000025,-0.009999999999999898
sast,reachable,unknown,sast-main-062,STANDARD,False,none,ACCELERATED,REVIEW,True,True,False,0.89,0.16000000000000003,-0.15000000000000002,-0.38000000000000034,-0.039999999999999925
sast,reachable,omitted,sast-main-062,STANDARD,False,none,ACCELERATED,ACCELERATED,False,False,False,0.010000000000000002,0.0,-0.020000000000000018,-0.050000000000000266,-0.019999999999999907
sast,asset,unknown,sast-main-062,STANDARD,False,none,ACCELERATED,ACCELERATED,False,False,False,0.30000000000000004,-0.32999999999999996,-0.06999999999999995,-0.3200000000000003,-0.07999999999999996
sast,asset,omitted,sast-main-062,STANDARD,False,none,ACCELERATED,ACCELERATED,False,False,False,0.010000000000000002,-0.10999999999999999,-0.030000000000000027,-0.25,-0.12999999999999995
sast,sanitization,unknown,sast-main-056,DEFER,False,none,DEFER,DEFER,False,False,True,0.24,-0.21999999999999997,-0.009999999999999981,-0.20000000000000007,-0.040000000000000036
sast,sanitization,omitted,sast-main-056,DEFER,False,none,DEFER,DEFER,False,False,True,0.010000000000000009,0.020000000000000018,-0.009999999999999981,-0.12,-0.040000000000000036
sast,attacker_controlled,unknown,sast-main-056,DEFER,False,none,DEFER,REVIEW,True,True,False,0.35,-0.48,0.020000000000000018,0.1399999999999999,-0.030000000000000027
sast,attacker_controlled,omitted,sast-main-056,DEFER,False,none,DEFER,DEFER,False,False,True,0.010000000000000009,-0.24,0.0,0.06000000000000005,0.0
sast,reachable,unknown,sast-main-056,DEFER,False,none,DEFER,REVIEW,True,True,False,0.6699999999999999,-0.09999999999999998,0.0,-0.10000000000000009,-0.010000000000000009
sast,reachable,omitted,sast-main-056,DEFER,False,none,DEFER,DEFER,False,False,True,0.0,0.040000000000000036,-0.009999999999999981,-0.19000000000000006,-0.010000000000000009
sast,asset,unknown,sast-main-056,DEFER,False,none,DEFER,DEFER,False,False,True,0.12,-0.08999999999999997,-0.009999999999999981,-0.31000000000000005,-0.020000000000000018
sast,asset,omitted,sast-main-056,DEFER,False,none,DEFER,DEFER,False,False,True,-0.019999999999999997,-0.010000000000000009,-0.01999999999999999,-0.09000000000000008,0.04999999999999993
sast,sanitization,unknown,sast-main-059,STANDARD,False,none,DEFER,DEFER,False,False,False,0.09999999999999998,-0.1200000000000001,-0.020000000000000004,-0.08000000000000002,0.06999999999999995
sast,sanitization,omitted,sast-main-059,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.08000000000000002,0.09999999999999998,-0.020000000000000004,-0.06,0.05999999999999994
sast,attacker_controlled,unknown,sast-main-059,STANDARD,False,none,DEFER,DEFER,False,False,False,0.22999999999999998,-0.29000000000000004,0.010000000000000009,0.020000000000000018,-0.010000000000000009
sast,attacker_controlled,omitted,sast-main-059,STANDARD,False,none,DEFER,DEFER,False,False,False,0.06999999999999998,-0.10000000000000009,0.01999999999999999,0.17000000000000004,-0.14
sast,reachable,unknown,sast-main-059,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.57,-0.18000000000000005,0.06,0.6900000000000001,-0.07000000000000006
sast,reachable,omitted,sast-main-059,STANDARD,False,none,DEFER,DEFER,False,False,False,0.009999999999999981,-0.09000000000000008,0.07999999999999999,0.7400000000000001,-0.07000000000000006
sast,asset,unknown,sast-main-059,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,-0.010000000000000009,0.009999999999999898,0.0,0.010000000000000009,-0.010000000000000009
sast,asset,omitted,sast-main-059,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,-0.05000000000000002,0.05999999999999994,-0.020000000000000004,0.010000000000000009,0.0
sast,sanitization,unknown,sast-main-085,STANDARD,False,none,DEFER,DEFER,False,False,False,0.12,-0.08999999999999997,-0.04000000000000001,-0.25,0.050000000000000044
sast,sanitization,omitted,sast-main-085,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.08000000000000002,0.16000000000000003,-0.04000000000000001,-0.24,0.07999999999999996
sast,attacker_controlled,unknown,sast-main-085,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.45999999999999996,-0.19999999999999996,0.04999999999999999,0.08000000000000007,0.050000000000000044
sast,attacker_controlled,omitted,sast-main-085,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.020000000000000018,-0.30999999999999994,0.04999999999999999,0.19999999999999996,0.14
sast,reachable,unknown,sast-main-085,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.5599999999999999,-0.06999999999999995,-0.01999999999999999,-0.24,0.07999999999999996
sast,reachable,omitted,sast-main-085,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.010000000000000009,0.040000000000000036,-0.010000000000000009,-0.06000000000000005,0.020000000000000018
sast,asset,unknown,sast-main-085,STANDARD,False,none,DEFER,DEFER,False,False,False,0.06999999999999998,-0.07999999999999996,-0.010000000000000009,-0.08999999999999986,0.040000000000000036
sast,asset,omitted,sast-main-085,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.010000000000000009,0.020000000000000018,0.0,0.010000000000000009,0.0
sast,sanitization,unknown,sast-main-015,REVIEW,True,defer_vs_standard,ACCELERATED,REVIEW,True,True,True,0.57,0.08000000000000002,-0.04999999999999993,-0.040000000000000036,-0.019999999999999907
sast,sanitization,omitted,sast-main-015,REVIEW,True,defer_vs_standard,ACCELERATED,ACCELERATED,False,False,False,0.0,-0.09000000000000002,-0.04999999999999993,-0.08999999999999986,-0.05999999999999994
sast,attacker_controlled,unknown,sast-main-015,REVIEW,True,defer_vs_standard,ACCELERATED,REVIEW,True,True,True,0.62,0.12999999999999995,-0.04999999999999993,-0.020000000000000018,-0.009999999999999898
sast,attacker_controlled,omitted,sast-main-015,REVIEW,True,defer_vs_standard,ACCELERATED,ACCELERATED,False,False,False,0.0,-0.03999999999999998,-0.039999999999999925,-0.08999999999999986,-0.05999999999999994
sast,reachable,unknown,sast-main-015,REVIEW,True,defer_vs_standard,ACCELERATED,REVIEW,True,True,True,0.9199999999999999,0.51,-0.15999999999999992,-0.20999999999999996,-0.1399999999999999
sast,reachable,omitted,sast-main-015,REVIEW,True,defer_vs_standard,ACCELERATED,ACCELERATED,False,False,False,0.0,-0.030000000000000027,-0.010000000000000009,-0.1200000000000001,-0.06999999999999995
sast,asset,unknown,sast-main-015,REVIEW,True,urgency,ACCELERATED,ACCELERATED,False,False,False,0.16999999999999998,-0.010000000000000009,0.07000000000000006,0.25,0.07000000000000006
sast,asset,omitted,sast-main-015,REVIEW,True,urgency,ACCELERATED,ACCELERATED,False,False,False,-0.02,0.15999999999999998,0.030000000000000027,0.26000000000000023,0.06000000000000005
sast,sanitization,unknown,sast-main-003,STANDARD,False,none,DEFER,DEFER,False,False,False,0.16999999999999998,-0.16000000000000003,-0.06,-0.17999999999999994,0.06
sast,sanitization,omitted,sast-main-003,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.010000000000000009,0.07999999999999996,-0.04000000000000001,-0.20999999999999996,0.010000000000000009
sast,attacker_controlled,unknown,sast-main-003,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.38,-0.35,0.0,0.1200000000000001,0.0
sast,attacker_controlled,omitted,sast-main-003,STANDARD,False,none,DEFER,DEFER,False,False,False,0.09,-0.14,-0.010000000000000009,0.1100000000000001,-0.08000000000000002
sast,reachable,unknown,sast-main-003,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.82,0.19000000000000006,0.21,1.4500000000000002,-0.02999999999999997
sast,reachable,omitted,sast-main-003,STANDARD,False,none,DEFER,ACCELERATED,True,False,False,0.12,-0.6799999999999999,0.30000000000000004,1.7800000000000002,0.03999999999999998
sast,asset,unknown,sast-main-003,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,0.15999999999999998,-0.17000000000000004,-0.03,-0.17999999999999994,0.010000000000000009
sast,asset,omitted,sast-main-003,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,-0.020000000000000004,0.050000000000000044,-0.020000000000000018,-0.040000000000000036,0.06
sast,sanitization,unknown,sast-main-039,DEFER,False,none,DEFER,REVIEW,True,True,False,0.26000000000000006,-0.10000000000000003,-0.04999999999999999,-0.26,0.14999999999999997
sast,sanitization,omitted,sast-main-039,DEFER,False,none,DEFER,DEFER,False,False,True,-0.02999999999999997,0.06999999999999995,-0.03,-0.26,-0.13
sast,attacker_controlled,unknown,sast-main-039,DEFER,False,none,DEFER,REVIEW,True,True,False,0.26000000000000006,-0.11000000000000004,-0.03999999999999998,-0.22999999999999998,0.12
sast,attacker_controlled,omitted,sast-main-039,DEFER,False,none,DEFER,DEFER,False,False,True,-0.04999999999999999,0.05999999999999994,-0.03,-0.020000000000000018,0.0
sast,reachable,unknown,sast-main-039,REVIEW,True,defer_vs_standard,DEFER,REVIEW,True,True,True,0.55,0.25,0.4,1.64,0.36999999999999994
sast,reachable,omitted,sast-main-039,REVIEW,True,defer_vs_standard,DEFER,ACCELERATED,True,False,False,-0.27999999999999997,0.18999999999999995,0.54,1.76,0.38999999999999996
sast,asset,unknown,sast-main-039,DEFER,False,none,DEFER,DEFER,False,False,True,0.12,-0.13000000000000006,-0.009999999999999981,-0.17999999999999994,0.09999999999999998
sast,asset,omitted,sast-main-039,DEFER,False,none,DEFER,DEFER,False,False,True,0.010000000000000009,-0.030000000000000027,-0.03,-0.24,0.08999999999999997
sast,sanitization,unknown,sast-main-032,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.29000000000000004,-0.46,0.06,0.4800000000000001,-0.14999999999999997
sast,sanitization,omitted,sast-main-032,STANDARD,False,none,DEFER,DEFER,False,False,False,0.07,-0.27,0.07999999999999999,0.43000000000000005,-0.03999999999999998
sast,attacker_controlled,unknown,sast-main-032,STANDARD,False,none,DEFER,DEFER,False,False,False,0.06,-0.06000000000000005,0.0,0.13,0.020000000000000018
sast,attacker_controlled,omitted,sast-main-032,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.06,0.07999999999999996,-0.010000000000000009,-0.07999999999999996,-0.12
sast,reachable,unknown,sast-main-032,STANDARD,False,none,DEFER,REVIEW,True,True,False,0.63,-0.030000000000000027,0.1,1.0499999999999998,0.07000000000000006
sast,reachable,omitted,sast-main-032,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.04999999999999999,-0.37,0.11000000000000001,0.9800000000000001,0.06000000000000005
sast,asset,unknown,sast-main-032,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,0.03,-0.020000000000000018,-0.03,-0.14,-0.06
sast,asset,omitted,sast-main-032,REVIEW,True,defer_vs_standard,DEFER,DEFER,False,False,False,-0.04999999999999999,0.05999999999999994,-0.020000000000000018,-0.12,-0.07999999999999996
sast,sanitization,unknown,sast-main-084,REVIEW,True,defer_vs_standard,ACCELERATED,REVIEW,True,True,True,0.51,-0.02999999999999997,-0.05999999999999994,-0.15000000000000036,-0.06
sast,sanitization,omitted,sast-main-084,REVIEW,True,defer_vs_standard,ACCELERATED,ACCELERATED,False,False,False,0.030000000000000006,-0.019999999999999962,-0.029999999999999916,-0.040000000000000036,0.010000000000000009
sast,attacker_controlled,unknown,sast-main-084,REVIEW,True,defer_vs_standard,ACCELERATED,REVIEW,True,True,True,0.63,0.12,-0.029999999999999916,-0.020000000000000018,-0.020000000000000018
sast,attacker_controlled,omitted,sast-main-084,REVIEW,True,defer_vs_standard,ACCELERATED,ACCELERATED,False,False,False,0.019999999999999997,0.0,-0.019999999999999907,0.029999999999999805,0.0
sast,reachable,unknown,sast-main-084,REVIEW,True,defer_vs_standard,ACCELERATED,REVIEW,True,True,True,0.9099999999999999,0.4600000000000001,-0.12,-0.25,0.010000000000000009
sast,reachable,omitted,sast-main-084,REVIEW,True,defer_vs_standard,ACCELERATED,ACCELERATED,False,False,False,0.010000000000000002,0.030000000000000027,0.010000000000000009,-0.010000000000000231,0.0
sast,asset,unknown,sast-main-084,REVIEW,True,urgency,ACCELERATED,ACCELERATED,False,False,False,0.16,-0.03999999999999998,0.030000000000000027,0.2799999999999998,-0.030000000000000027
sast,asset,omitted,sast-main-084,REVIEW,True,urgency,ACCELERATED,ACCELERATED,False,False,False,0.010000000000000002,-0.04999999999999999,0.010000000000000009,0.3599999999999999,-0.06
sast,sanitization,unknown,sast-main-088,STANDARD,False,none,DEFER,DEFER,False,False,False,0.09,-0.09000000000000008,-0.020000000000000018,-0.020000000000000018,0.0
sast,sanitization,omitted,sast-main-088,STANDARD,False,none,DEFER,DEFER,False,False,False,-0.009999999999999995,0.029999999999999916,-0.010000000000000009,-0.12,-0.019999999999999907
sast,attacker_controlled,unknown,sast-main-088,STANDARD,False,none,DEFER,DEFER,False,False,False,0.35000000000000003,-0.35000000000000003,-0.010000000000000009,0.050000000000000044,0.020000000000000018
