request_key,attempt,raw_file,phase,utc_start,http_status,error,ok,latency_ms,response_id,model_snapshot,provider,input_tokens,output_tokens,cost,noul,choice,choice_confidence,score,score_confidence,p_DEFER,p_STANDARD,p_ACCELERATED,p_EMERGENCY,p_REVIEW,s_0,s_1,s_2,s_3,s_4
sast-0e7529d837073d63b73c50d8,1,sast-0e7529d837073d63b73c50d8__a1.json,sast_main,2026-09-24T01:06:26.512+00:00,200,,True,167.4,gen-dec-1790211986-SgL4fMMdUruIhVtkj9q7,typesafe/jev-1.13-20260917,TypeSafe,1241,98,5.2122e-05,0.17,DEFER,0.8,0.91,0.24,0.84,0.01,0.01,0.0,0.14,0.47,0.26,0.18,0.07,0.02
sast-0f1862027d62cee68644434e-rep1,1,sast-0f1862027d62cee68644434e-rep1__a1.json,secondary,2026-09-24T01:10:51.104+00:00,200,,True,201.1,gen-dec-1790212251-NlbVo4ruHCJdymRRpSZZ,typesafe/jev-1.13-20260917,TypeSafe,1234,100,5.1828e-05,0.88,EMERGENCY,0.55,3.54,0.62,0.0,0.01,0.34,0.64,0.01,0.0,0.0,0.06,0.34,0.6
sast-0f1862027d62cee68644434e-rep2,1,sast-0f1862027d62cee68644434e-rep2__a1.json,secondary,2026-09-24T01:09:03.637+00:00,200,,True,161.4,gen-dec-1790212143-tM6T8yfpui635nmIx9UN,typesafe/jev-1.13-20260917,TypeSafe,1234,100,5.1828e-05,0.87,EMERGENCY,0.61,3.58,0.65,0.0,0.01,0.29,0.69,0.01,0.0,0.0,0.05,0.31,0.64
sast-0f1862027d62cee68644434e-rep3,1,sast-0f1862027d62cee68644434e-rep3__a1.json,secondary,2026-09-24T01:11:24.546+00:00,200,,True,143.0,gen-dec-1790212284-nfNvrOUFnWDIMTKwEAFI,typesafe/jev-1.13-20260917,TypeSafe,1234,100,5.1828e-05,0.87,EMERGENCY,0.58,3.59,0.66,0.0,0.01,0.32,0.66,0.01,0.0,0.0,0.05,0.3,0.65
sast-0f1862027d62cee68644434e,1,sast-0f1862027d62cee68644434e__a1.json,sast_main,2026-09-24T01:06:25.948+00:00,200,,True,213.1,gen-dec-1790211985-kWQJtw9eVJM2FdOSeQwA,typesafe/jev-1.13-20260917,TypeSafe,1234,100,5.1828e-05,0.88,EMERGENCY,0.61,3.57,0.64,0.0,0.01,0.29,0.69,0.01,0.0,0.0,0.06,0.32,0.62
sast-10be9f0cf4d8cb4ef049e61e,1,sast-10be9f0cf4d8cb4ef049e61e__a1.json,secondary,2026-09-24T01:09:16.194+00:00,200,,True,171.0,gen-dec-1790212156-8qFIm031G00LwnKkI8RD,typesafe/jev-1.13-20260917,TypeSafe,1256,98,5.2752e-05,0.17,DEFER,0.72,1.08,0.6,0.78,0.05,0.0,0.0,0.17,0.2,0.54,0.25,0.01,0.0
sast-11c128aa70b7e9bc64344ad6,1,sast-11c128aa70b7e9bc64344ad6__a1.json,sast_main,2026-09-24T01:06:39.992+00:00,200,,True,152.5,gen-dec-1790211999-of5JXEppqVI5YCnXnOFw,typesafe/jev-1.13-20260917,TypeSafe,1256,98,5.2752e-05,0.06,DEFER,0.91,0.09,0.93,0.93,0.0,0.0,0.0,0.07,0.92,0.08,0.0,0.0,0.0
sast-128303a185da96dcba6fee90,1,sast-128303a185da96dcba6fee90__a1.json,sast_main,2026-09-24T01:06:43.613+00:00,200,,True,192.4,gen-dec-1790212003-pAycisV7LW7Nk6RqA4VP,typesafe/jev-1.13-20260917,TypeSafe,1226,100,5.1492e-05,0.73,ACCELERATED,0.44,2.88,0.51,0.01,0.14,0.55,0.24,0.05,0.0,0.03,0.28,0.45,0.24
sast-1508785f2db7fb8bf15492a6,1,sast-1508785f2db7fb8bf15492a6__a1.json,sast_main,2026-09-24T01:06:39.493+00:00,200,,True,148.7,gen-dec-1790211999-euuACoVJeXriAdf3BXrI,typesafe/jev-1.13-20260917,TypeSafe,1249,98,5.2458e-05,0.25,DEFER,0.69,1.46,0.51,0.75,0.1,0.01,0.0,0.14,0.07,0.41,0.5,0.02,0.0
sast-1644c9607b89e76281a7a034,1,sast-1644c9607b89e76281a7a034__a1.json,secondary,2026-09-24T01:09:45.237+00:00,200,,True,204.0,gen-dec-1790212185-FbLVKNW80pGnYbhELiIB,typesafe/jev-1.13-20260917,TypeSafe,1291,100,5.4222e-05,0.68,ACCELERATED,0.68,2.66,0.63,0.01,0.13,0.75,0.03,0.08,0.0,0.03,0.32,0.6,0.05
sast-1720da0f831867675591c962,1,sast-1720da0f831867675591c962__a1.json,secondary,2026-09-24T01:09:51.325+00:00,200,,True,147.5,gen-dec-1790212191-G8zyotmSOsCuqPdrQhh8,typesafe/jev-1.13-20260917,TypeSafe,1245,98,5.229e-05,0.19,DEFER,0.73,0.93,0.59,0.78,0.08,0.01,0.0,0.13,0.28,0.52,0.19,0.01,0.0
sast-190ac56fce133adfbd8a7f1e,1,sast-190ac56fce133adfbd8a7f1e__a1.json,secondary,2026-09-24T01:08:56.192+00:00,200,,True,146.8,gen-dec-1790212136-UMqoYHPhXKErobDJXJUP,typesafe/jev-1.13-20260917,TypeSafe,1250,98,5.25e-05,0.13,DEFER,0.95,0.42,0.65,0.96,0.02,0.0,0.0,0.02,0.67,0.24,0.09,0.0,0.0
sast-193cdbdf35de7ff245f93c07,1,sast-193cdbdf35de7ff245f93c07__a1.json,sast_main,2026-09-24T01:06:43.124+00:00,200,,True,137.9,gen-dec-1790212003-wMjI4F3CxIWjum36fO4V,typesafe/jev-1.13-20260917,TypeSafe,1242,98,5.2164e-05,0.11,DEFER,0.75,0.71,0.55,0.81,0.09,0.0,0.0,0.1,0.42,0.46,0.12,0.0,0.0
sast-1a136533fb413e226ab5f03f,1,sast-1a136533fb413e226ab5f03f__a1.json,secondary,2026-09-24T01:08:31.768+00:00,200,,True,175.2,gen-dec-1790212111-IWpCRIfd7uW5EKVSisNd,typesafe/jev-1.13-20260917,TypeSafe,1251,100,5.2542e-05,0.71,ACCELERATED,0.73,2.84,0.55,0.0,0.07,0.79,0.1,0.04,0.0,0.01,0.34,0.46,0.19
sast-1a949a63ee9efb82314864db,1,sast-1a949a63ee9efb82314864db__a1.json,secondary,2026-09-24T01:12:29.336+00:00,200,,True,212.4,gen-dec-1790212349-WPqom34v0VAP4EzDMLLb,typesafe/jev-1.13-20260917,TypeSafe,1242,98,5.2164e-05,0.12,DEFER,0.76,0.76,0.55,0.81,0.1,0.0,0.0,0.09,0.39,0.47,0.14,0.0,0.0
sast-1b3389db072ef6917e48e21c,1,sast-1b3389db072ef6917e48e21c__a1.json,secondary,2026-09-24T01:08:17.574+00:00,200,,True,183.8,gen-dec-1790212097-gGXfyndQ5IIVFNUJbHp9,typesafe/jev-1.13-20260917,TypeSafe,1252,98,5.2584e-05,0.14,DEFER,0.74,0.7,0.42,0.8,0.02,0.0,0.0,0.18,0.44,0.42,0.13,0.01,0.0
sast-1cb26b68633c22e97dbcf4f9,1,sast-1cb26b68633c22e97dbcf4f9__a1.json,secondary,2026-09-24T01:09:26.034+00:00,200,,True,160.7,gen-dec-1790212166-yotxjEp6YGCVwdZ8s1f7,typesafe/jev-1.13-20260917,TypeSafe,1239,100,5.2038e-05,0.39,ACCELERATED,0.32,2.72,0.48,0.01,0.34,0.46,0.05,0.14,0.0,0.07,0.3,0.45,0.18
sast-1d04a909e259c6b8b780f70f,1,sast-1d04a909e259c6b8b780f70f__a1.json,sast_main,2026-09-24T01:06:40.495+00:00,200,,True,188.6,gen-dec-1790212000-d5unRwLv33wMe7aQTfQi,typesafe/jev-1.13-20260917,TypeSafe,1239,100,5.2038e-05,0.51,ACCELERATED,0.62,2.57,0.55,0.0,0.19,0.7,0.04,0.07,0.0,0.03,0.42,0.5,0.05
sast-1d0e24f08131320a4feccb93,1,sast-1d0e24f08131320a4feccb93__a1.json,secondary,2026-09-24T01:13:01.032+00:00,200,,True,237.6,gen-dec-1790212381-mPAy4ymHtLrYLzMnkFth,typesafe/jev-1.13-20260917,TypeSafe,1240,98,5.208e-05,0.13,DEFER,0.82,0.39,0.67,0.86,0.01,0.0,0.0,0.13,0.65,0.31,0.03,0.01,0.0
sast-1dcad0eefa2d4f025b55a2de,1,sast-1dcad0eefa2d4f025b55a2de__a1.json,secondary,2026-09-24T01:08:34.424+00:00,200,,True,193.3,gen-dec-1790212114-h9svDHl6Qfkg1KqUIz35,typesafe/jev-1.13-20260917,TypeSafe,1248,98,5.2416e-05,0.06,DEFER,0.98,0.19,0.84,0.98,0.01,0.0,0.0,0.01,0.82,0.18,0.0,0.0,0.0
sast-1e9f7f46357573fb56adb0ee,1,sast-1e9f7f46357573fb56adb0ee__a1.json,secondary,2026-09-24T01:10:13.800+00:00,200,,True,283.3,gen-dec-1790212213-EAkSU9yPur3nW1CdfZHw,typesafe/jev-1.13-20260917,TypeSafe,1207,100,5.0694e-05,0.68,ACCELERATED,0.4,2.6,0.63,0.0,0.42,0.53,0.01,0.04,0.0,0.03,0.36,0.59,0.02
sast-1eafae3b6e43cec7ef0ef1ab,1,sast-1eafae3b6e43cec7ef0ef1ab__a1.json,sast_main,2026-09-24T01:06:34.168+00:00,200,,True,161.6,gen-dec-1790211994-OlTs6xXUQSc5lgd41r4m,typesafe/jev-1.13-20260917,TypeSafe,1265,100,5.313e-05,0.67,ACCELERATED,0.47,2.51,0.56,0.01,0.1,0.57,0.03,0.29,0.0,0.01,0.49,0.48,0.02
sast-1efe35290fc310899eac74c8,1,sast-1efe35290fc310899eac74c8__a1.json,secondary,2026-09-24T01:10:05.678+00:00,200,,True,215.9,gen-dec-1790212205-Q9dHfst1WxKX33c4PciM,typesafe/jev-1.13-20260917,TypeSafe,1291,98,5.4222e-05,0.11,DEFER,0.82,0.81,0.6,0.86,0.06,0.01,0.0,0.07,0.34,0.53,0.12,0.01,0.0
sast-1f2f08396368374683cd99b4,1,sast-1f2f08396368374683cd99b4__a1.json,secondary,2026-09-24T01:09:55.025+00:00,200,,True,186.6,gen-dec-1790212195-Mxlmw06TYy3DguTIjbwn,typesafe/jev-1.13-20260917,TypeSafe,1247,98,5.2374e-05,0.14,DEFER,0.77,0.92,0.5,0.81,0.11,0.0,0.0,0.07,0.34,0.41000000000000003,0.25,0.0,0.0
sast-20b46090d99263ac7d4eb41a,1,sast-20b46090d99263ac7d4eb41a__a1.json,sast_main,2026-09-24T01:05:55.206+00:00,200,,True,161.6,gen-dec-1790211955-nOwh2NUGpjn11Lv5JYyW,typesafe/jev-1.13-20260917,TypeSafe,1260,98,5.292e-05,0.07,DEFER,0.93,0.14,0.89,0.94,0.0,0.0,0.0,0.06,0.89,0.09,0.02,0.0,0.0
sast-20f05a4969b70040876772fc,1,sast-20f05a4969b70040876772fc__a1.json,secondary,2026-09-24T01:10:03.857+00:00,200,,True,365.3,gen-dec-1790212203-9Q0DjAuxaW4dCAUwacYB,typesafe/jev-1.13-20260917,TypeSafe,1252,99,5.2584e-05,0.39,STANDARD,0.62,2.11,0.71,0.04,0.7,0.16,0.0,0.1,0.0,0.12,0.65,0.23,0.0
sast-21581f8b9c656a8544065b84,1,sast-21581f8b9c656a8544065b84__a1.json,sast_main,2026-09-24T01:06:22.324+00:00,200,,True,160.5,gen-dec-1790211982-JViBA87mkdx5EOVzFN3n,typesafe/jev-1.13-20260917,TypeSafe,1236,100,5.1912e-05,0.69,ACCELERATED,0.37,2.42,0.47,0.01,0.37,0.49,0.06,0.07,0.0,0.11,0.38,0.48,0.03
sast-217f0f4b0f90f0c2948b8811,1,sast-217f0f4b0f90f0c2948b8811__a1.json,secondary,2026-09-24T01:10:16.888+00:00,200,,True,250.3,gen-dec-1790212216-BM74gBKVTwPj3TTTrGkj,typesafe/jev-1.13-20260917,TypeSafe,1255,99,5.271e-05,0.59,STANDARD,0.48,2.16,0.68,0.0,0.58,0.31,0.05,0.06,0.0,0.11,0.67,0.17,0.05
sast-22bdbb9bb4913e6528495851,1,sast-22bdbb9bb4913e6528495851__a1.json,secondary,2026-09-24T01:07:32.975+00:00,200,,True,164.7,gen-dec-1790212052-1Z2ODIydMdRND3WHRCaK,typesafe/jev-1.13-20260917,TypeSafe,1154,100,4.8468e-05,0.77,EMERGENCY,0.35,3.54,0.62,0.01,0.04,0.35,0.48,0.12,0.0,0.01,0.09,0.22,0.68
sast-235490f90818a9359671188d,1,sast-235490f90818a9359671188d__a1.json,secondary,2026-09-24T01:12:09.311+00:00,200,,True,278.3,gen-dec-1790212329-mi555Dm8iCnLSUgO7Syj,typesafe/jev-1.13-20260917,TypeSafe,1251,98,5.2542e-05,0.23,REVIEW,0.62,1.22,0.59,0.27,0.03,0.0,0.0,0.7,0.13,0.52,0.34,0.01,0.0
sast-239bf4687b42e0e03c2d377a,1,sast-239bf4687b42e0e03c2d377a__a1.json,secondary,2026-09-24T01:10:38.411+00:00,200,,True,249.4,gen-dec-1790212238-4hgyv1imqCNvvqrpNcA5,typesafe/jev-1.13-20260917,TypeSafe,1255,98,5.271e-05,0.24,DEFER,0.51,1.17,0.21,0.61,0.1,0.03,0.0,0.26,0.29,0.3,0.36,0.04,0.01
sast-23cd80f94f0e832d6d911024,1,sast-23cd80f94f0e832d6d911024__a1.json,sast_main,2026-09-24T01:06:06.862+00:00,200,,True,141.1,gen-dec-1790211966-TAd2Lx0UBHelYfuRATM9,typesafe/jev-1.13-20260917,TypeSafe,1247,99,5.2374e-05,0.27,STANDARD,0.69,1.75,0.67,0.02,0.75,0.14,0.0,0.09,0.01,0.31,0.61,0.07,0.0
sast-262f581e6513a8ff6150b6d6,1,sast-262f581e6513a8ff6150b6d6__a1.json,secondary,2026-09-24T01:11:12.269+00:00,200,,True,474.4,gen-dec-1790212272-dM5xRdpeIf6Nfr7ARwYg,typesafe/jev-1.13-20260917,TypeSafe,1256,98,5.2752e-05,0.13,DEFER,0.74,0.95,0.59,0.79,0.17,0.0,0.0,0.04,0.27,0.51,0.22,0.0,0.0
sast-2632ca6e27abd6b733b869e9,1,sast-2632ca6e27abd6b733b869e9__a1.json,secondary,2026-09-24T01:09:19.886+00:00,200,,True,238.7,gen-dec-1790212159-K5pSUqETRGSBYvTeAc0O,typesafe/jev-1.13-20260917,TypeSafe,1224,100,5.1408e-05,0.81,ACCELERATED,0.69,2.8,0.59,0.0,0.07,0.75,0.17,0.01,0.0,0.01,0.32,0.53,0.14
sast-26483b5b76c231e799950398,1,sast-26483b5b76c231e799950398__a1.json,sast_main,2026-09-24T01:06:27.709+00:00,200,,True,237.1,gen-dec-1790211987-l61i9BNFhQ807kNeb3cW,typesafe/jev-1.13-20260917,TypeSafe,1249,99,5.2458e-05,0.57,STANDARD,0.45,2.11,0.86,0.0,0.56,0.41,0.0,0.03,0.0,0.03,0.83,0.14,0.0
sast-2722df89836cb2e8aac958ac,1,sast-2722df89836cb2e8aac958ac__a1.json,sast_main,2026-09-24T01:06:52.932+00:00,200,,True,143.1,gen-dec-1790212012-QH8iKX2hLJ3l1NQGaG38,typesafe/jev-1.13-20260917,TypeSafe,1247,100,5.2374e-05,0.8,ACCELERATED,0.41,3.7,0.75,0.0,0.03,0.53,0.43,0.01,0.0,0.0,0.01,0.27,0.72
sast-27b6a61efc00f88eee4659a7-rep1,1,sast-27b6a61efc00f88eee4659a7-rep1__a1.json,secondary,2026-09-24T01:12:07.718+00:00,200,,True,189.4,gen-dec-1790212327-amyg5aUU0TqkZAwAbJYQ,typesafe/jev-1.13-20260917,TypeSafe,1245,98,5.229e-05,0.09,DEFER,0.98,0.46,0.61,0.98,0.01,0.0,0.0,0.01,0.59,0.36,0.05,0.0,0.0
sast-27b6a61efc00f88eee4659a7-rep2,1,sast-27b6a61efc00f88eee4659a7-rep2__a1.json,secondary,2026-09-24T01:08:17.077+00:00,200,,True,146.8,gen-dec-1790212097-AEMaAhanPzk4x97PluTU,typesafe/jev-1.13-20260917,TypeSafe,1245,98,5.229e-05,0.09,DEFER,0.98,0.4,0.66,0.99,0.0,0.0,0.0,0.01,0.64,0.32,0.04,0.0,0.0
sast-27b6a61efc00f88eee4659a7-rep3,1,sast-27b6a61efc00f88eee4659a7-rep3__a1.json,secondary,2026-09-24T01:10:41.382+00:00,200,,True,160.7,gen-dec-1790212241-yHdnfOtV4zT2PEJvnTaB,typesafe/jev-1.13-20260917,TypeSafe,1245,98,5.229e-05,0.1,DEFER,0.98,0.48,0.6,0.98,0.01,0.0,0.0,0.01,0.58,0.36,0.06,0.0,0.0
sast-27b6a61efc00f88eee4659a7,1,sast-27b6a61efc00f88eee4659a7__a1.json,sast_main,2026-09-24T01:06:41.034+00:00,200,,True,167.3,gen-dec-1790212001-8EsOSQ9uJVhgZ70Xgo8v,typesafe/jev-1.13-20260917,TypeSafe,1245,98,5.229e-05,0.1,DEFER,0.98,0.51,0.58,0.98,0.01,0.0,0.0,0.01,0.55,0.4,0.05,0.0,0.0
sast-27f9492bc60fcde9ef90a803,1,sast-27f9492bc60fcde9ef90a803__a1.json,secondary,2026-09-24T01:09:16.716+00:00,200,,True,166.4,gen-dec-1790212156-llGOV330UKEq2ECOQfxb,typesafe/jev-1.13-20260917,TypeSafe,1226,98,5.1492e-05,0.25,DEFER,0.49,1.27,0.44,0.59,0.16,0.03,0.0,0.22,0.2,0.4,0.35,0.05,0.0
sast-284040b48a39446b8741bb53,1,sast-284040b48a39446b8741bb53__a1.json,sast_main,2026-09-24T01:06:19.485+00:00,200,,True,237.9,gen-dec-1790211979-0Y1MEGEvKenRNzWcd9zX,typesafe/jev-1.13-20260917,TypeSafe,1242,99,5.2164e-05,0.42,STANDARD,0.62,2.02,0.83,0.01,0.69,0.26,0.0,0.04,0.0,0.09,0.8,0.11,0.0
sast-2950c3881469981873d8c107,1,sast-2950c3881469981873d8c107__a1.json,secondary,2026-09-24T01:11:47.141+00:00,200,,True,239.5,gen-dec-1790212307-iRXPPAmlyfdoxIM7LGXV,typesafe/jev-1.13-20260917,TypeSafe,1238,98,5.1996e-05,0.46,REVIEW,0.19,2.21,0.59,0.25,0.27,0.12,0.01,0.35,0.01,0.11,0.55,0.32,0.01
sast-2a0b5c5fecf3957d74748b5b,1,sast-2a0b5c5fecf3957d74748b5b__a1.json,secondary,2026-09-24T01:11:15.614+00:00,200,,True,210.4,gen-dec-1790212275-5bNtaffVcCdR8451cYRu,typesafe/jev-1.13-20260917,TypeSafe,1245,99,5.229e-05,0.21,STANDARD,0.83,1.37,0.67,0.07,0.86,0.01,0.0,0.06,0.01,0.63,0.35,0.01,0.0
